Company,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
THE PACKAGING GROUP INC,45992.01,37708.62,24144.26,37461.36,45611.46,30615.02,26718.06,34595.79
THE PITTSBURGH FOUNDATION,61313.83,65961.77,63998.19,46707.43,82627.72,68052.97,83409.37,52643.64
THE POETRY FOUNDATION,116542.72,91162.51,158243.63,114136.18,78970.27,87309.73,161206.81,138665.68
THE POKEMON COMPANY INTERNATIONAL INC,1386464.82,1382786.26,1318651.16,1567680.86,2581405.71,1569522.37,1955536.14,2250151.52
THE PORTER AND CHESTER INSTITUTE INC,66395.8,55324.54,71180.52,68033.59,84014.16,62283.75,40759.19,42725.03
THE PRAETORIAN GROUP,54216.21,42616.33,38823.38,45716.12,41718.78,44621.61,65923.13,70265.41
THE RAINE GROUP LLC,1332758.62,1090511.76,1444194.57,1210035.75,1357220.91,1100399.55,1419893.42,1770261.91
THE RDI GROUP,92328.25,114019.4,108017.7,109082.51,131745.19,173616.75,157038.78,173151.37
THE REPUBLIC OF TEA INC,232298.39,176865.67,221566.25,245544.68,205850.98,216007.84,227016.11,172764.6
"THE RETIREMENT ADVANTAGE, INC.",106742.45,137349.51,124798.89,158795.11,115166.85,137204.79,140359.09,126000.29
THE RICHARDSON TRIDENT COMPANY,122095.68,81938.28,98500.46,70908.36,83921.35,87371.02,81279.02,73269.6
"THE ROBERT ALLEN GROUP, INC.",243161.01,167291.79,208998.95,143294.91,157603.79,126614.48,221032.1,101731.09
THE ROCKEFELLER FOUNDATION,1116519.89,417969.49,722809.66,593144.31,861460.06,261930.35,601761.53,442972.75
THE ROW LLC,551552.6,662633.01,736225.82,666986.5,712561.09,709884.32,764879.69,770624.53
"THE RUBICON PROJECT, INC.",3040822.63,2543830.32,2614312.18,2247386.29,1969493.99,1346544.2,1495117.12,1587667.43
THE SAINT CONSULTING GROUP INC,163533.31,116587.42,94692.87,78102.78,93635.75,69690.12,60247.62,37176.4
THE SCOTT LAWSON COMPANIES,113536.86,105676.28,88169.26,82521.09,91790.14,97280.14,36910.45,38907.73
"THE SERVICENTER, INC DBA VALAIR AVIATION",96492.4,67294.18,57808.44,40494.15,51981.28,36127.85,52382.15,34573.27
"THE SIEGFRIED GROUP, LLP",3989625.41,4130098.86,4007253.83,4310030.85,4967180.75,4988892.37,5214793.72,5293123.27
THE SIEMON COMPANY,570959.97,539235.66,548168.59,548192.91,611064.42,457393.95,505355.05,535791.81
THE SKILLMAN FOUNDATION,91375.47,50379.83,103071.93,74083.27,55902.46,55626.87,77193.33,44156.28
THE SOLOMON-PAGE GROUP LLC,130343.15,194542.67,201103.68,207071.79,174625.48,139368.48,136258.69,127465.55
THE SPENCER FOUNDATION,58952.58,63024.41,54513.84,28829.25,49362.08,59579.26,116987.56,81765.27
THE SPICE & TEA EXCHANGE DISTRIBUTION LLC,197151.65,300644.08,247234.76,231363.45,242234.19,228789.52,110977.75,51615.78
THE SR GROUP (UK) LIMITED,151365.12,264636.65,196307.2,222245.5,219230.46,185051.61,271752.01,286185.96
"THE ST. LOUIS RAMS, LLC",445000.02,695926.34,494603.7,502243.18,584927.28,799933.94,1211417.08,868191.78
THE STATE BANK AND TRUST COMPANY,137525.46,101903.32,111248.39,85029.07,126392.98,117773.05,145454.05,120754.44
"THE STEIER GROUP, INC",306377.51,373302.52,363976.09,359344.26,345255.35,362411.8,383717.48,331563.14
THE STOLLER GROUP INC,592208.65,425191.01,445615.83,595234.39,496765.33,508648,541797.58,537427.83
THE STRATEGY GROUP FOR MEDIA,75859.04,97242.16,123156.12,176712.33,128632.78,98486.91,75847.17,79882.64
THE STUDENT ROOM GROUP LIMITED,70970.25,103466.51,73811.25,95999.75,92069.5,110352.81,75600,91864.47
THE SWATCH GROUP U.S INC.,1529771.36,1142014.91,1429796.41,1202545.67,1126342.43,832522.54,1096251.19,928600.8
THE TAS GROUP,175466,233382.7,232400.67,226685.74,229667.67,156004.35,276324.45,306394.58
THE TAX INSTITUTE,85488.6,82134.11,115864.66,146862.07,111608.38,82624.58,120663.85,126091.91
"THE TCW GROUP, INC.",1966424,1590024.5,1872136.58,1252686.94,1767703.55,1503939.58,1759567.2,1137685.41
THE TEAM COMPANIES,583581.39,359731.08,205633.01,226486.18,716535.01,260437.81,281725.43,203425.56
THE TENSAR CORPORATION - GEORGIA,772977.74,836403.58,757064.12,641088.28,782282.93,657939.28,722363.05,656259.29
"THE TILE SHOP, LLC",394842.93,328769.79,600432.62,595122.15,649489.97,511277.94,787250.98,465206.9
THE TRUNK CLUB INC,273809.07,290048.98,294522.25,293927.58,278390.31,297573.53,324470.06,251379.99
THE UNITARIAN UNIVERSALIST CONGREGATION AT SHELTER ROCK,194946.22,303316.38,355181.18,472788.64,329272.64,253242.34,283678.88,282015.45
THE UNITED STATES PHARMACOPEIAL CONVENTION INC,710586.81,637986.9,879653.11,796486.99,1024858.03,726218.03,984432.74,775100.49
THE VIA GROUP LLC,276831.06,278121.64,341798.11,248462.49,215077.81,254008.99,214696.7,268432.34
THE VILLAGE CHURCH,464855.98,695513.1,677852.19,656893.86,614733.77,508058.91,551067.73,533601.76
THE VILLAGE NETWORK,295383.41,289289.69,371323.16,347368.27,250139.43,347768.17,345805.11,294446.32
THE VIRTUS GROUP LLC,75217.38,391083.39,483937.98,455369.09,330673.93,523084.69,392650.96,380837.61
THE VITALITY GROUP,276946.7,328684.2,352353.49,369126.48,417053.69,207780.58,345927.06,246641.58
"THE WASHINGTON TRUST COMPANY, OF WESTERLY",227584.6,151813.28,218447.28,175512.89,194167.44,136490.63,194231.79,187020.59
THE WHEELER CLINIC INC,343766.98,318566.94,354879.99,372243.03,311556.98,309157.85,382500.71,278007.83
THE WILD SALMON CENTER,131451.63,65704.19,65514.25,84568.55,69438.83,61575.83,93166.31,91600.55
THE WILDERNESS SOCIETY,432457.17,342885.99,392148.02,431140.36,386369.17,382836.33,475000.97,618796.9
THE WILLAMETTE VALLEY COMPANY,878107.14,871722.37,980921.08,934259.89,1052040.4,969802.82,957017.19,1112918.82
THE WILL-BURT COMPANY,101586.73,128692.62,185541.06,127585.4,162771.88,123097.2,187381.5,179411.25
THE WINSFORD CORPORATION,117555.87,107488.24,181564.63,153237.03,135819.69,161712.25,168980.96,197404.69
THE WISE GROUP,30457.3,21335.04,20771.75,17557.45,17242.82,16091.26,20090.87,20984.75
THE WOLFF COMPANY,121326.21,422470.44,514053.94,508162.62,491301.13,548778.91,561439.37,602408.77
"THE ZIEGLER COMPANIES, INC.",912796.19,653660.57,807808.86,567743.29,894705.51,829365.97,853079.09,627490.53
THEAUDIENCE,38085.86,29636.19,41704.4,32858.88,38240.19,8117.37,13566.45,20593.44
THEMIS COMPUTER,37903.49,37895.2,23470.49,28019.5,56698.06,45226.81,49314.57,42751.96
"THEO CHOCOLATE, INC",30058.45,24219.78,22077.09,22828.38,26282.8,23461.62,26988.04,20593.15
"THERAPEUTIC RESEARCH CENTER, LLC",101185.1,89462.12,63729.7,90758.46,85200.6,74910.2,67301.85,119290.77
"THERAPEUTICS, INC.",42118.82,111168.39,121592.52,137970.8,143059.09,126761.55,142319.86,100746.94
THERAPY MANAGEMENT CORPORATION,446094.71,460646.75,345514.04,384839.72,513492.8,396391.79,304094.15,320245.21
"THERAVANCE BIOPHARMA US, INC.",1126729.67,1367105.78,1228081.02,1284633.78,1497915.53,1299484.62,1225493.35,1157384.22
"THERMAL SOLUTIONS MANUFACTURING, INC.",101527.63,127845.57,138839.85,128946.28,103995.68,122747.81,106939.57,147345.04
THERMAL SUPPLY INC.,104999.45,152437.58,45896.34,153267.48,31472.65,111339.89,60584.03,82657.03
"THINK PASSENGER, INC.",50256.9,47732.53,67033.32,40345.62,58111.28,41372.93,66705.45,76969.46
"THINK SURGICAL, INC.",23855.51,9617.17,16297.55,15236.07,30728.58,17538.66,25367.28,12553.79
THINKING MAPS INC,377163.46,220125.9,194252.87,240806.85,174311.64,247735.26,184990.27,190972.46
"THINKING PHONE NETWORKS, INC",2587046.89,3311964.41,3506771.28,2803601.97,3030856.14,2247275.25,2198834.43,2140964.26
THINKWELL CORPORATION,72775.14,87564.75,47106.09,53505.77,51484.67,52267.11,35851.53,41947.66
THIRD AVENUE MANAGEMENT LLC,76541.42,25886.57,31467.29,18216.4,34991.63,21089.42,23201.28,12721.95
"THIRD PLANET WINDPOWER, LLC",23972.07,23385.47,26456.7,28619.61,20121.51,25841,28652.25,38006.39
"THIRD WAVE SYSTEMS, INC.",24646.71,26435.5,25101.78,17864.91,22593.07,14112.59,14792.22,17554.41
"THISMOMENT, INC.",87303.16,181276.38,78466.87,127989.41,55551.56,33422.11,41889.19,41537.39
THOMAS EDISON STATE COLLEGE,94897.65,56236.46,82263.69,52798.73,68141.2,50814.24,80385.54,50629.37
THOMAS ENERGY SERVICES INC,134556.28,95762.24,100879.99,96066.45,104745.15,94706.58,106767.31,109884.96
THOMAS GALLAWAY CORPORATION DBA TECHNOLOGENT,1005709.21,1385344.4,1283235.07,1320255.38,1285930.9,1241784.11,1360877.07,1263668.86
THOMAS H. LEE PARTNERS L.P.,1616473.99,1364663.63,1035216.73,1112828.61,1208151.92,1680109.88,1290457.39,1456002.23
THOMAS J. MADDEN AND ASSOCIATES,32289.14,26366.2,27597.29,33922.11,40632.51,23032.18,27688.28,31269.22
THOMAS MCGEE LLC,65981.61,54661.45,67531.49,54731.89,79778.98,60553.22,80005.12,70412.19
THOMAS WEST INC.,48651.11,38319.48,42968.16,23233.94,9870.44,20776.61,31101.62,22431.41
"THOMAS-GRACE CONSTRUCTION, INC.",342894.53,305538.9,250066.76,368836.62,402588.84,224475.21,278438.78,335111.69
"THOMPSON INDUSTRIAL SERVICES, LLC",155903.33,197386.24,267386.95,248324.62,276129.55,255203.51,291762.68,333995.15
"THOMPSON THRIFT CONSTRUCTION, INC",545889.74,485641.21,496555.04,514875.45,487325.71,582708.73,598617.15,496265.9
THOMPSONS SOLICITORS LLP,74052.62,151379.93,162489.52,169399.55,156084.37,133835.9,120834.3,125880.77
THOMSON DIRECTORIES LIMITED,23224.35,16564.91,19280.69,23030.78,21377.14,14342.09,13920.71,6172.98
THOMSONS ONLINE BENEFITS,338314.99,209185.52,225131.73,259549.8,248845.04,240074.16,314305.53,241389.72
"THOR SPECIALTIES, INC.",166932.74,143566.36,173386.64,128611.4,148495.74,124679.91,170081.4,147447.2
THORLEY INDUSTRIES LLC,442620.45,290262.68,387645.62,424276.24,520667.7,254814.46,390295.72,203585.51
THREATMETRIX,422404.56,456901.39,464151.59,556224.04,642857.45,583524.96,620874.55,906423.81
"THREATTRACK SECURITY, INC. DBA VIPRE SECURITY",178581.31,307261.75,249785.81,178613.64,213956.07,244291.47,176969.46,158666.03
"THREE GROUP RESEARCH, LLC",44175.99,80348.24,82533.96,68922.69,103875.08,105043.44,118482.95,103753.64
"THREE SAINTS BAY, LLC",518202.21,473041.48,785519.85,887251.04,824650.65,795141.13,931465.12,1181170.67
THRIVE FARMERS INTERNATIONAL,106880.74,125152.03,102765.86,92659.95,93684.89,96743.16,176330.38,83597.41
THROMBOGENICS,162220.89,109918.05,102368.88,68110.32,61706.69,61803.91,64039.64,52326.76
THURAYA TELECOMMUNICATIONS COMPANY,355216.13,162407.22,322680.9,269727.17,341329.98,304103.1,194752.32,167191.66
THURGOOD MARSHALL ACADEMY PUBLIC CHARTER HIGH SCHOOL,59026.85,48003.48,96862.99,51712.97,56423.79,83172.67,90834.69,60064.86
TICKETFLY INC.,208626.96,212565.72,266394.83,270698.55,255053.42,263739.82,294674.52,215849.86
"TICKETS.COM, INC. AKA CALIFORNIA TICKETS.COM, INC.",163889.58,123732.19,88953.12,82176.51,143613.23,97364.15,66758.99,87327.88
"TIDEL ENGINEERING, L.P.",271152.53,289857.37,297092.84,343324.96,317825.71,314593.77,356227.43,321462.4
TIDEWATER FINANCE COMPANY,22365.39,32391.1,41507.57,44336.28,45651.94,29963.58,39833.93,44997.45
TIER 1 ENERGY SERVICES INC,205421.5,166274.44,159184.84,135263.48,175979.01,202275.59,197583.7,253369.45
"TIER1, INC.",290780.58,263623.87,303790.96,218249.63,191636.04,130593.88,175962.39,168416.98
"TIER10 MARKETING, LLC",14968.22,17379.88,12261.45,8260.06,7849.23,18396.59,20343.23,16163.1
TIFFANY & CO (AUSTRALIA) PTY LTD,210731.92,247178.47,407406.87,202148.67,488336.7,279170.81,303697.67,247017.26
TIFFANY & CO. (UK) HOLDINGS LIMITED,654915.33,674810.51,875250.17,540934.38,682384.47,674111.02,858372.96,737998.08
"TIGER CONTROLS INC., LLC",15212.71,16146.29,15254.43,14737.4,16761.93,17204.14,21675.92,24252.61
TIGER COOL EXPRESS LLC,118177.94,126324.62,121987.47,112509.09,81079.4,69436.25,101851.28,129664
"TIGER FINANCIAL MANAGEMENT, LLC",824224.94,563612.29,678473.82,676274.6,811167.87,898914.83,1153151.4,1318299.71
TIGERS (USA) GLOBAL LOGISTICS INC,59613.61,57046.25,56000.21,66491.02,64970.45,62805.47,65763.76,82458.79
"TILLSTER, INC.",672205.48,819692.26,747645.73,812751.41,690695.5,643490.55,559769.92,545444.93
TILSON TECHNOLOGY MANAGEMENT,812328.79,726676.33,894696.85,1077141.25,1016708.23,1115906.52,1286495.54,1369927.44
TIM GROUP,234056.08,186763.2,222602.4,228234.35,245002.5,245193.26,212994.14,165364.4
TIMBERCREEK ASSET MANAGEMENT INC.,302565.11,267288.3,360283.37,317265.01,417058.05,416976.42,455077.9,487745.6
TIME OUT ENGLAND LIMITED.,426571.73,290485.13,285765.11,320382.05,319315.91,400492.63,793375.82,457147.4
"TIMESAVERS, LLC",207952.46,113615.93,164132.99,132900.44,366487.87,148052.5,136050.63,256243.33
TIMKEN CANADA LP DBA STANDARD MACHINE,14433.05,44633.21,65886.35,50230.71,56791.13,50218.67,55753.5,72186.15
TINTRI,1423901.15,1079120.77,1446562.89,1669834.66,1725169.46,1575813.18,1952494.75,1761020.12
TIP TRAILER SERVICES,1547582.55,625115.26,1060813.32,805219.2,1357419.22,918284.95,929283.78,923015.73
"TIPP DISTRIBUTORS, INC. D/B/A NOVAMEX.",547643.29,422219.65,598711.04,595612.37,603738.23,573669.05,643910.3,643443.59
TISSUE REGENIX,212057.15,232548.4,210849.78,197765.77,230501.27,174419.36,183644.96,158924.75
"TISSUETECH, INC.",984608.11,1582742.47,1491144.69,1374591.12,1259101.63,1229223.19,1370530.69,934190.64
TITAN AUSTRALIA PTY LTD,131701.11,137571.02,139586.64,136914.21,128884.23,142378.9,152377.86,161115.89
"TITANLINER, INC.",124156.98,103186.81,95514.94,123819.31,91166.3,122976.49,153792.84,148424.48
"TITLE SOURCE, INC.",1046897.14,1308684.47,779582.62,1355268,1586732.41,768471.07,1199878.84,938526.23
"TLB III, INC. DBA SIX DISCIPLINES CONSULTING SERVICES",45946.11,44820.09,22872.46,35633.38,43546.06,55156.92,47933.27,39599.45
TLP MANAGEMENT SERVICES LLC.,597383.28,563050.94,637626.5,470733.01,1415118.42,310399.15,104154.68,135127.31
TMA SYSTEMS,201108.68,155151.53,216938.96,196678.03,350037.13,159105.87,205483.43,198194.72
TMD FRICTION UK LTD,158130.05,163292.63,203438.06,140071.05,146220.27,148659.82,210557.95,149697.33
TMG GASES INC.,144587.21,127950.11,142240.36,137624.32,144462.93,172132.16,165848.28,142639.57
"TO LIVESTYLE, INC.",1376180.77,1061564.66,716480.29,445904.58,301986.99,233238.26,258648.4,374364.68
TOASTMASTERS INTERNATIONAL,496533.4,525749.69,427821.81,842801.1,901150.76,742192.96,1035315.14,1237880.58
"TOGNUM AMERICA, INC.",1252925.71,1057346.37,1330132.67,1263760.61,1240127.82,1224362.25,1300702.84,1295658.91
TOKYO ELECTRON EUROPE LIMITED,851873.49,853882.75,852361.61,870491.73,886651.73,916713.94,906068.81,878342.05
TOLIC,60849.09,65723.88,61704.63,77382.91,78130.68,84058.07,56068.66,50918.55
TOM MCLEOD SOFTWARE CORPORATION,699108.42,688510.43,693260.94,703949.02,558250.14,729531.55,837839.47,701495.25
TOMPKINS TRUST COMPANY,734169.36,621953.5,716004.82,718911.3,815499.12,656931.54,786712.17,700968.05
"TOO FACED COSMETICS, LLC",969348.13,1268193.35,1012460.72,1064858.23,1033763.46,1401447.82,1055377.12,1441235.4
TOOLMEX CORPORATION,129821.95,131049.31,82974.39,114563.97,91511.16,103760.26,96465.23,108155.87
"TOOLTECHNIC SYSTEMS, LLC DBA FESTOOL USA",150429.44,409216.15,278630.33,263997.39,293803.47,259176.91,339378.4,311845.36
TOPCO ASSOCIATES LLC,681387.03,535798.33,662436.48,567340.45,660742.45,583012.46,805361.56,494449.86
TOP-CO CEMENTING PRODUCTS INC.,102886.89,75246.88,72414.14,75746.92,93342.34,89935.05,97317.81,101941.65
TOPCON (GREAT BRITAIN) LIMITED,117412.61,170757.41,128514.07,138114.85,82925.13,85762.96,76265.27,126084.64
"TORAY FLUOROFIBERS (AMERICA), INC.",30920.35,79017.33,115968.2,63738.83,49270.85,89570.87,55911.12,79815.66
"TORAY PLASTICS (AMERICA), INC.",319223.92,255019.8,310889.98,349814.05,336861.23,280505.33,232034.69,230833.58
"TORCHLIGHT INVESTORS, LLC",57427.55,103398.69,250641.01,206612.17,228437.44,200448.55,204719.71,182740.33
TORM TPE,547028.98,303034.74,315487.91,233837.58,417747.73,173532.9,308582.67,258128.69
"TOROTEL, INC.",39395.25,66596.65,103975.09,67149.07,64471.08,65100.75,163876.63,136235.8
"TOSOH AMERICA, INC.",971984.96,786792.39,899191.45,1020733.91,999299.55,1014644.76,1175211.56,1018344.99
"TOSOH QUARTZ, INC.",240264.8,54512.76,136514.85,128125.33,223513.12,196408.99,120522.85,127371.59
TOTAL E&AMP;P AUSTRALIA,315126.22,354867.88,262814.19,157151.77,106313.59,80809.37,150446.53,105543.22
TOTAL E&P USA INC,263818.84,176488.82,192510.56,160198.81,158037.23,118491.83,165594.31,153311.89
TOTAL SITE SOLUTIONS (TSS),276359.11,241220.61,258616.76,206521.87,297960.3,244337.63,206264.45,172148.42
TOTAL TOOLS,43976.47,141557.96,50520.23,189544.49,140910.26,141573.82,117856.92,146899.01
"TOUCH OF COLOR FLOORING, INC.",8028.81,5488.5,6667.8,4448.46,4265.94,3704.68,2435.87,6600.49
TOUCHTUNES MUSIC CORPORATION,439287.17,431465,433367.88,343379.05,474068.42,338375.32,356676.76,364881
TOWER HAMLETS HOMES,9435.49,7776.86,6119.53,5491.25,4871.55,5319.88,3163.84,5611.03
"TOWER HILL INSURANCE GROUP, INC.",200001.66,191792.67,221540.47,187127.51,597673.91,296731.49,252484.94,194867.02
TOWERSTREAM CORPORATION,106719.34,97746.82,63429.24,77434.04,71436.52,61950.03,81564.14,53583.69
"TOWLIFT, INC.",269454.22,411510.3,273857.92,371501.57,351560.46,593706.69,388525.17,410668.02
"TOWN TOTAL HEALTH, LLC",358953.72,313292.92,383139.42,461559.32,403557.37,328523.68,329321.5,338979.14
TOWNSQUARE MMN,79947.74,44450.68,35716.81,41371.86,56418.63,19323.26,34294.06,30984.38
"TOYO TANSO USA, INC.",73965.46,80142.25,79370.97,56490.31,56054.45,33388.51,36185.13,41467.95
TOYODA MACHINERY,808420.14,721966,856340.72,1018380.59,836285.87,910932.34,926299.32,899272.1
"TOYOTA MATERIAL HANDLING, U.S.A., INC.",513792.89,480771.48,524131.68,605143.4,662341.08,642429.45,660021.47,810945.32
TPN HOLDINGS LLC,1005533.57,988830.94,838468.37,601569.93,670986.87,830450.63,794309.46,884789.12
"TRACELINK, INC.",194168.93,207189.42,420666.61,373832.08,364090.22,431450.64,724791.12,757581.27
"TRACFONE WIRELESS, INC",884938.9,455014.6,544391.1,527540.78,477716.97,385331.08,633925.71,493847.12
"TRACON PHARMACEUTICALS, INC.",123465.64,151491.37,156753.56,141486.93,182793.29,119396.64,95861.31,88345.37
"TRADEBE ENVIRONMENTAL SERVICES, LLC",86764.8,67712.13,78519.01,77690.49,96143.15,62453.55,96843.53,89288.19
TRADEMARK EVENT PRODUCTIONS INC,105398.79,42545.2,244893.17,143304.46,277099.14,32683.83,86023.4,91966.8
TRADESTATION GROUP,249090.14,213374.32,234993.19,114019.46,96735.34,91011.11,180794.46,189175.94
TRADEWEB EUROPE LTD.,498050.78,378068.2,476133,371878.41,366489.46,470748.48,406773.39,918967.18
TRADEWEB GROUP LLC,2476574.24,2232220.98,2171185.2,1886779.39,2215086.51,2133290.71,2265810.36,1888956.36
TRADING TECHNOLOGIES INTERNATIONAL INC.,485174.76,475840.32,532910.67,389327.74,390080.58,350951.36,375050.07,281606.14
"TRADINGSCREEN, INC.",361643.13,245223.26,287241.39,316179.17,310673.17,361896.65,342390.82,220737.56
"TRADITION AMERICA HOLDINGS, INC.",2302256.97,1495515.23,1784946.08,1321782.28,2074876.12,1714411.92,1997039.97,1502443.62
TRADITION CAPITAL BANK,115250.31,146583.31,109173.57,126234.47,156932.48,175814.92,133563.38,172283.02
"TRADITIONAL MEDICINALS, INC",248818.7,238220.73,241273.81,234950.24,282477.93,312082.69,298710.05,294940.96
TRADITIONS MANAGEMENT,169793.8,154116.88,157361.86,180319.79,151441.92,151111.88,227294.43,153439.95
TRAEGER PELLET GRILLS,99381.6,191619.31,212944.65,237500.27,202893.8,187380.62,233506.61,254491.74
TRAGON CORPORATION,215456.69,230111.59,185118.48,318269.52,304923.46,213259.97,129687.18,154446.53
"TRAILBLAZER CONSULTING, LLC.",124690.11,98674.97,111682.54,120881.04,121077.67,149204.21,133884.31,122943.78
TRAILER PARK INC,398939.01,418646.82,438219.13,329969.63,385460.32,285263.19,262090.96,194913.19
TRAINING THE STREET,82408.55,118526.57,111276.17,209579.23,166387.45,135846.71,96143.59,247946.6
TRANSALTA ENERGY,78484.11,73756.42,73370.09,81115.49,58603.17,79969.88,82275.48,90134.74
TRANSCENDIA INC.,510663.6,606174.02,942702.84,1032566.22,954154.41,662539.51,791871.83,823478.75
TRANSIGMA PARTNERS,14084.82,16780.1,8457.55,19672.29,22602.83,5930.24,7756.36,9203.32
TRANSITIONS OPTICAL LIMITED,1239092.61,1189958.3,1409638.43,1262788.38,763925.38,878946.83,1026180.92,724477.05
TRANSMARKET INFRASTRUCTURE HOLDINGS LLC.,276670.85,231611.79,301355.2,432415.24,323974.69,318425.46,308361.25,366996.52
"TRANSTAR AUTOBODY TECHNOLOGIES, INC.",475750.07,335245.07,390642,439783.23,553570.25,362083.87,511133.17,413423.59
TRANSURBAN LIMITED,1359836.18,1112668.94,1832418.17,1818200.43,1817081.67,1505255.01,2949984.58,2007183.79
TRANSVERSAL CORPORATION LTD,81690.54,57729.75,147320.71,33915.38,24432.79,50096.93,28522.52,93054.36
"TRANSWEST, INC.",213324.83,211604.54,237259.4,240225.64,247497.21,314080.41,292675.92,244184.51
TRANZACT,104534.16,280990.88,131873.5,190567.96,307798.11,193877.66,195964.11,470114.75
TRASCENT MANAGEMENT CONSULTING LLC,247989.7,287165.75,270851.52,260254.66,255722.9,236717.9,210592.18,262601.2
"TRAVCORP USA, INC.",1606941.35,1609121.68,1334234.47,1079417.63,1500307.57,1643112.22,1858944.06,1371251.75
TRAVEL INCORPORATED EMPLOYEES,65125.83,64667.63,67036.73,67373.96,77563.84,84614.26,88961.73,84706.94
TRAVELEX CURRENCY SERVICES INC.,457911.15,284889.94,349233.48,390362,312033.06,211829.24,224922.69,215410.43
TRAVELZOO (EUROPE) LTD,200902,151442.28,143616.99,167643.31,150721.34,160449.83,133580.29,134981.33
TRAVELZOO INC,663532.35,532649.03,685300.05,602747.82,934997.43,643041.85,853090.74,895028.08
"TREASURY, OREGON STATE",67817.06,48312.59,88574.61,34381.22,76496.97,37771.88,71107.62,40495.34
"TREBBIANNO, LLC",115914.85,81891.14,76836.98,77403.52,43288.68,50748.95,74790.6,72401.15
"TRECE, INC.",56030.63,74340.29,49781.57,79278.17,79478.79,58370.53,61377.24,92415.8
TREMBLANT CAPITAL GROUP,277017.69,231593.98,241416.19,201617.68,258648.15,175800.13,249937.04,144345.76
TREMCO ILLBRUCK LTD.,312504.74,315533.28,361443.61,313025.83,442371.51,395974.99,377805.18,395238.46
"TREMOR VIDEO, INC.",1097116.63,963633.28,1061668.92,1303551.95,1444545.51,920973.07,1424409.17,978903.23
"TRENDS INTERNATIONAL, LLC",77023.01,110289.63,125321.38,126107.48,124945.71,101135.35,105327.44,74318.7
TRENDSETTER ENGINEERING,258562.94,273741.77,182735.09,227411.9,161646.49,232865.64,283860.68,193198.88
TRESPA NORTH AMERICA LTD,133198.02,88599.05,100077.67,92934.26,108587.58,129131.59,79715.14,86586.38
"TREVENA, INC.",189008.86,210582.39,278888.72,194203.42,231503.33,224746.64,290474.21,231153.95
TRG MANAGEMENT LP,579492.05,359403.08,372801.09,306334.3,424771.29,328606.61,454983.4,338031.63
"TRI POINTE HOMES, INC.",2120576.98,3025514.09,4320878.72,3386547.93,4220446.4,4435686.05,4863969.85,4407364.63
TRIAD RETAIL MEDIA,399078.46,766875.25,1201512.51,1190640.67,1543676.19,1457350.65,999036.8,780592.46
TRIALTO WINE GROUP,808813.36,710389.97,793154.71,422515.43,396006.53,481030.54,385786.16,545322.02
TRIANGLE CAPITAL CORPORATION,148473.9,151851.41,161602.02,107269.63,182462.27,158366.14,87636.17,169290.42
TRIANGLE LAND CONSERVANCY,4094.81,3950,4710.01,6197.24,7142.26,5191.73,6068.88,6964.19
TRICOCI UNIVERSITY OF BEAUTY CULTURE LLC,323380.57,447188.33,335895.63,448257.32,496582.59,492005.3,581226.69,537972.11
TRICORE SOLUTIONS,141758.18,159725.33,211631.02,161117.95,172885.34,151308.27,150408.73,161403.68
"TRI-K INDUSTRIES, INC.",124685.23,139759.7,139323.39,96738.44,120782.68,88718.53,92463.54,87926.35
TRILANTIC CAPITAL MANAGEMENT L.P.,518492.09,435737.86,370223.58,448416.91,536042.71,627021.08,413372.37,477204.78
TRILLIANT NETWORKS INC.,493131.34,518136.06,509482.1,550999.08,676083.15,519596.62,548440.01,520971.29
"TRILLION PARTNERS, INC.",114216.78,88375.17,62924.07,70117.63,54188.86,71475.09,61459.69,66444.54
"TRILOGY GLOBAL ADVISORS, LLC",274993.72,127444.39,79558.28,78185.75,90076.33,69148.42,79582.91,69153.67
TRILOGY INTERNATIONAL PARTNERS,34715.82,56730.27,36560.84,60143.17,39058.94,28635.64,71167.88,122713.12
"TRI-M GROUP, LLC",372990.37,450667.13,327198.09,284594.04,259745.13,366118.52,303915.78,298805.3
TRIMBLE UK LTD,589617.85,446577.87,527029.36,406053.18,428958.7,348127.11,395849.82,411291.47
"TRIMEDX HOLDINGS, LLC",2892073.91,3592598.88,4108571.5,4475508.95,4210285.63,4369945.46,3110366.63,3091410.03
"TRI-MERIT, LLC",26181.25,58105.96,46209.23,71809.68,67667.52,99333.25,46963.76,66598.96
TRIMEX PTY LTD,76002,116120.27,160066.05,162099.14,203820.31,123998.02,171683.94,139517.85
TRIMONT REAL ESTATE ADVISORS,304436.01,578885.33,293670.61,219771.57,236348.43,209680.79,279835.29,186098.31
TRINDENT MANAGEMENT CONSULTING INC,337442.77,636254.74,517318,595838.4,493792.42,517477.22,461446.76,462499.9
"TRINET PHARMA, LLC",119240.41,56021.15,121909.16,166746.92,67312.91,83685.98,50926.59,46405.5
TRINITAS VENTURES,517943.77,644643.02,623605.38,838489.97,991028.11,759097.35,659028.28,707924.04
"TRION GROUP, A MARSH & MCLENNAN AGENCY",575634.68,523363.1,631724.74,525556.18,687946.78,609436.45,626315.21,593498.79
"TRIOSE, INC",133113.83,96806.53,132397.72,180951.77,123766.44,127465.99,226451.39,152127.97
TRIPLEFIN,143694.14,88111.49,137677.69,103252,109912.65,100321.12,116175.61,85507.13
